Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Pete Crow-Armstrong*,24,CHC,NL,9.6,153,687,592,115,167,29,8,44,105,37,7,78,178,.282,.375,.581,.956,159,.411,156,344,2,12,1,4,6,*8/DH,AS,crowape01
2,Alex Bregman,32,CHC,NL,5.2,150,681,590,88,156,32,2,26,88,3,1,73,100,.264,.354,.458,.812,122,.359,124,270,19,12,0,6,2,*5D/H,,bregmal01
3,Iván Herrera,26,STL,NL,2.7,152,678,570,93,138,25,1,16,65,8,0,74,124,.242,.355,.374,.729,110,.341,120,213,18,29,0,5,5,D2/3H,AS,herreiv01
4,Gunnar Henderson*,25,BAL,AL,2.7,151,673,597,86,132,26,5,23,58,10,5,65,148,.221,.306,.397,.703,99,.312,98,237,9,9,0,2,3,*6/DH,,hendegu01
5,Michael Busch*,28,CHC,NL,1.4,151,671,568,74,135,27,2,19,76,3,1,86,155,.238,.347,.393,.740,104,.334,106,223,10,12,0,5,1,*3/H,,buschmi02
6,Pete Alonso,31,BAL,AL,4.3,153,665,573,91,153,24,0,37,102,5,1,77,160,.267,.361,.503,.864,143,.377,143,288,13,10,0,5,5,*3D,,alonspe01
7,Fernando Tatis Jr.,27,SDP,NL,4.0,150,664,591,90,169,29,3,23,78,35,13,60,122,.286,.354,.462,.816,128,.363,131,273,15,6,1,6,6,*94/DH,,tatisfe02
8,Kevin McGonigle*,21,DET,AL,6.7,147,663,566,94,155,26,4,17,65,12,4,91,90,.274,.376,.424,.800,124,.363,129,240,5,3,0,3,1,65/D,AS,mcgonke01
9,Matt Olson*,32,ATL,NL,4.2,153,662,592,96,148,33,0,39,86,4,0,63,167,.250,.323,.503,.827,124,.358,123,298,11,3,0,4,5,*3/9,AS,olsonma02
10,Bryan Reynolds#,31,PIT,NL,3.4,152,662,565,101,148,36,2,17,71,9,0,84,155,.262,.366,.423,.789,114,.354,115,239,9,10,0,3,3,*79D/H,,reynobr01
11,Miguel Vargas,26,CHW,AL,4.6,150,662,558,98,139,30,1,31,84,19,2,90,119,.249,.357,.473,.830,131,.368,130,264,11,7,0,6,5,*53/DH,AS,vargami01
12,Junior Caminero,22,TBR,AL,5.6,151,659,578,93,161,23,1,41,96,3,3,74,121,.279,.363,.535,.897,148,.380,144,309,25,4,0,3,13,*5/3,AS,caminju01
13,Zach Neto,25,LAA,AL,5.1,147,657,585,96,142,29,5,26,74,21,11,58,200,.243,.324,.443,.767,118,.336,117,259,3,13,0,1,1,*6/DH,,netoza01
14,Sal Stewart,22,CIN,NL,2.3,152,657,583,83,157,25,0,31,108,15,6,61,143,.269,.338,.472,.810,123,.354,123,275,15,4,0,9,5,*35D/4H,AS,stewasa02
15,Kyle Schwarber*,33,PHI,NL,2.7,146,655,548,90,130,17,1,45,95,3,1,94,212,.237,.352,.518,.870,130,.372,127,284,3,6,0,6,6,*D/37H,AS,schwaky01
16,Trea Turner,33,PHI,NL,-0.3,147,654,605,96,145,27,1,19,57,20,4,42,139,.240,.292,.382,.674,79,.303,75,231,11,4,0,3,1,*6/DH,,turnetr01
17,Nico Hoerner,29,CHC,NL,2.0,150,653,596,60,157,28,1,8,69,22,4,41,56,.263,.315,.354,.669,85,.314,89,211,13,8,0,8,0,*46/H,,hoernni01
18,Yandy Díaz,34,TBR,AL,2.8,146,650,582,86,173,25,1,22,81,3,1,52,93,.297,.362,.457,.819,128,.361,128,266,15,10,0,6,6,*D,AS,diazya01
19,Otto Lopez,27,MIA,NL,5.7,149,650,595,89,182,31,9,10,69,31,5,36,85,.306,.348,.439,.786,121,.359,126,261,13,8,0,11,0,*6/DH,AS,lopezot01
20,Ozzie Albies#,29,ATL,NL,1.6,153,649,583,84,143,27,1,22,71,4,4,45,94,.245,.300,.408,.709,93,.307,88,238,7,7,0,14,1,*4/DH,AS,albieoz01
21,Bo Bichette,28,NYM,NL,0.7,150,649,596,72,157,24,2,16,74,2,2,44,118,.263,.313,.391,.704,97,.307,93,233,16,2,0,7,0,*56/DH4,,bichebo01
22,Bryce Harper*,33,PHI,NL,3.4,152,648,537,90,145,31,3,28,83,7,6,103,139,.270,.384,.495,.880,134,.380,135,266,18,1,0,7,3,*39D,AS,harpebr03
23,Yordan Alvarez*,29,HOU,AL,6.1,148,647,529,96,164,31,1,39,98,1,0,103,115,.310,.428,.594,1.022,188,.428,184,314,7,10,0,5,32,*D7,AS,alvaryo01
24,Wilyer Abreu*,27,BOS,AL,5.7,148,644,564,80,143,36,4,24,74,8,4,67,130,.254,.332,.459,.792,122,.344,120,259,9,3,1,7,3,*9/D,,abreuwi02
25,Alec Burleson*,27,STL,NL,3.6,152,642,577,85,164,37,1,23,111,4,0,55,112,.284,.350,.471,.822,133,.357,132,272,12,6,0,4,4,*3/HD,,burleal01
26,Brice Turang*,26,MIL,NL,6.9,141,640,544,96,144,34,3,19,93,19,5,88,156,.265,.367,.443,.810,123,.365,128,241,8,1,5,2,3,*4/6H,,turanbr02
27,Geraldo Perdomo#,26,ARI,NL,4.4,148,639,528,66,133,19,6,9,50,20,9,89,80,.252,.360,.362,.722,102,.336,110,191,10,5,9,8,0,*6/H,,perdoge01
28,Manny Machado,33,SDP,NL,1.8,148,635,551,79,122,22,0,28,83,5,4,74,133,.221,.311,.414,.725,102,.323,105,228,19,1,1,8,3,*5D,,machama01
29,Jonathan Aranda*,28,TBR,AL,2.1,146,634,550,71,153,24,0,21,89,0,1,65,150,.278,.361,.436,.798,123,.351,122,240,14,11,0,8,3,*3/HD,,arandjo01
30,Corbin Carroll*,25,ARI,NL,4.8,147,634,550,88,131,30,16,21,67,21,3,70,145,.238,.330,.465,.795,118,.349,116,256,7,8,0,6,4,*9/DH,AS,carroco02
31,Rafael Devers*,29,SFG,NL,3.7,148,633,558,88,144,36,1,37,98,0,0,69,161,.258,.340,.525,.865,140,.367,137,293,13,2,0,4,7,3D,,deverra01
32,Jordan Walker,24,STL,NL,3.7,149,631,575,93,160,33,0,28,100,20,5,48,161,.278,.336,.482,.818,131,.365,136,277,14,4,0,4,1,*9/DH,AS,walkejo02
33,Randy Arozarena,31,SEA,AL,5.1,145,630,540,103,150,30,1,25,75,23,8,63,135,.278,.375,.476,.851,145,.384,152,257,17,23,0,4,1,*7/D,AS,arozara01
34,Jackson Merrill*,23,SDP,NL,3.4,149,628,579,79,148,25,4,25,83,26,4,39,148,.256,.304,.442,.747,107,.329,103,256,8,3,4,3,3,*8/H,,merrija01
