pitcher,pitch_type,n,naive_in,inferred_in
A.J. Minter,ALL,504,10.33157903,9.363667681
A.J. Minter,CH,93,12.21932349,9.90302614
A.J. Minter,FC,170,10.84307669,9.971207274
A.J. Minter,FF,241,9.783789674,8.671469534
A.J. Puk,ALL,1119,10.67718301,9.824463782
A.J. Puk,CH,17,13.14854771,11.67550731
A.J. Puk,FF,486,9.793986549,9.302161853
A.J. Puk,FS,27,11.93895872,10.30100731
A.J. Puk,SI,166,10.19050038,9.931719808
A.J. Puk,SL,235,12.34356802,10.65792066
A.J. Puk,ST,188,11.39588517,10.51406858
AJ Smith-Shawver,ALL,111,13.09805997,11.30079308
AJ Smith-Shawver,CU,21,17.13290887,12.49620729
AJ Smith-Shawver,FF,58,11.38054553,9.319653402
AJ Smith-Shawver,FS,31,15.59481648,11.89343001
AJ Smith-Shawver,SL,1,20.14898104,20.09967417
Aaron Ashby,ALL,318,11.47521446,10.44788586
Aaron Ashby,CH,49,10.73091988,10.05426051
Aaron Ashby,CU,65,10.41295936,9.780179419
Aaron Ashby,FF,7,13.0538035,10.57394302
Aaron Ashby,SI,142,11.5082418,10.21224482
Aaron Ashby,SL,55,13.47951066,13.24032917
Aaron Brooks,ALL,391,8.726131316,7.908112925
Aaron Brooks,CH,53,10.27965081,8.901875969
Aaron Brooks,FF,107,9.290882484,8.491751437
Aaron Brooks,KC,7,11.86430704,13.62767235
Aaron Brooks,SI,96,7.513530839,7.58392709
Aaron Brooks,SL,128,8.510492539,7.626492712
Aaron Bummer,ALL,952,11.72759498,9.905067793
Aaron Bummer,CH,11,16.4731343,11.03103824
Aaron Bummer,CU,22,22.14814627,13.99498497
Aaron Bummer,FC,47,9.315588237,9.801223354
Aaron Bummer,FF,92,9.581409064,9.390969734
Aaron Bummer,SI,377,10.27137272,9.075204931
Aaron Bummer,ST,403,12.94205828,10.6674292
Aaron Civale,ALL,2555,9.839465064,8.799469997
Aaron Civale,CU,411,12.3970746,11.22339331
Aaron Civale,FC,826,8.091854495,7.437572287
Aaron Civale,FF,249,9.461960577,8.198703154
Aaron Civale,FS,51,12.36704568,9.291828168
Aaron Civale,SI,605,10.48259367,8.770613428
Aaron Civale,SL,37,10.63777707,7.104022263
Aaron Civale,ST,376,10.4849534,9.208150345
Aaron Hicks,ALL,18,21.61270146,11.38905999
Aaron Hicks,FA,18,21.61270146,11.38905999
Aaron Nola,ALL,3019,9.564870843,7.987160238
Aaron Nola,CH,291,10.75989075,8.990704635
Aaron Nola,FC,271,8.362758366,8.117194072
Aaron Nola,FF,844,9.9126181,7.803988747
Aaron Nola,KC,987,9.711916868,8.335006144
Aaron Nola,SI,626,8.995567232,7.664557072
Abner Uribe,ALL,240,12.32646621,11.46816299
Abner Uribe,FF,3,17.54974212,20.85586556
Abner Uribe,SI,154,12.88425184,11.37863719
Abner Uribe,SL,83,11.91924327,11.22017601
Adam Cimber,ALL,377,11.7089288,10.032393
Adam Cimber,FF,112,11.17644947,9.73099188
Adam Cimber,SI,140,10.51168639,9.579496437
Adam Cimber,SL,125,14.33869226,11.21893105
Adam Mazur,ALL,548,11.68113154,9.971395497
Adam Mazur,CH,56,15.64958388,11.8474182
Adam Mazur,CU,69,11.67678552,9.817375283
Adam Mazur,FF,221,11.13719363,9.091641201
Adam Mazur,SI,21,15.59194849,10.18431769
Adam Mazur,SL,180,11.60054425,9.935407809
Adam Mazur,ST,1,13.59776037,11.89861955
Adam Oller,ALL,683,11.64456046,10.14929583
Adam Oller,CH,49,13.60983502,11.02632019
Adam Oller,CU,104,12.27263969,11.08555918
Adam Oller,FF,286,12.53062127,9.505366888
Adam Oller,SI,66,9.48221176,9.612577807
Adam Oller,SL,6,11.42511076,10.59162656
Adam Oller,SV,172,11.42922088,11.01809033
Adam Ottavino,ALL,969,11.05130206,10.49399661
Adam Ottavino,CH,48,14.01436914,12.23769221
Adam Ottavino,CU,8,20.94997264,12.38720254
Adam Ottavino,FC,104,10.65834896,8.988546085
Adam Ottavino,FF,96,10.88599459,11.15272417
Adam Ottavino,SI,324,9.874459524,10.05446837
Adam Ottavino,SL,20,11.80411577,10.56764948
Adam Ottavino,ST,369,11.76239375,10.78988325
Adbert Alzolay,ALL,306,12.63022878,10.5070095
Adbert Alzolay,CH,2,19.39874234,12.54502542
Adbert Alzolay,FC,25,13.17847823,9.937461349
Adbert Alzolay,FF,61,11.56998786,10.07008289
Adbert Alzolay,SI,77,14.14511111,11.03009123
Adbert Alzolay,SL,141,12.99581856,10.44896346
Adrian Houser,ALL,1063,9.475398134,9.006383989
Adrian Houser,CH,138,12.96421698,9.919315909
Adrian Houser,CU,89,15.26956922,12.00017246
Adrian Houser,FF,179,8.92814405,9.753116344
Adrian Houser,SI,473,8.390222428,7.944366366
Adrian Houser,SL,184,10.03362267,9.133572765
Adrian Morejon,ALL,1026,11.03689457,9.671690411
Adrian Morejon,CU,8,18.32318896,11.96534029
Adrian Morejon,FF,237,10.18231181,9.025578547
Adrian Morejon,KN,81,13.60785393,12.91128723
Adrian Morejon,SI,368,10.32287361,9.274688265
Adrian Morejon,SL,311,13.01915219,9.879124062
Adrian Morejon,ST,21,15.57790261,10.38911185
Alan Busenitz,ALL,66,9.295593241,8.494711979
Alan Busenitz,CH,4,12.42410985,7.310502703
Alan Busenitz,CU,9,13.35664088,10.81422571
Alan Busenitz,FC,13,5.912338136,6.297599343
Alan Busenitz,FF,14,12.08206579,9.306406865
Alan Busenitz,SI,16,6.74414042,7.6904786
Alan Busenitz,SL,8,8.816394283,9.920571922
Alan Busenitz,ST,2,12.95358696,11.97274279
Albert Suárez,ALL,2148,10.48484129,9.337052721
Albert Suárez,CH,376,10.90462332,9.495441114
Albert Suárez,CU,289,12.26054997,11.85056981
Albert Suárez,FC,414,11.16161074,10.41056957
Albert Suárez,FF,1065,9.800650705,8.534718092
Albert Suárez,SV,4,17.41291877,17.10996572
Alec Marsh,ALL,2006,11.60321318,10.80913785
Alec Marsh,CH,197,12.45891762,10.37678332
Alec Marsh,CU,327,11.65823768,11.48115398
Alec Marsh,FF,741,11.87024846,10.7209962
Alec Marsh,SI,280,10.66558439,9.806805594
Alec Marsh,SL,372,11.08508362,11.24416916
Alec Marsh,ST,89,12.09182235,11.45989589
Alek Jacob,ALL,225,13.64289317,9.070328369
Alek Jacob,CH,71,13.74828174,10.4688845
Alek Jacob,FF,48,13.30978139,7.46672587
Alek Jacob,SI,73,14.40738708,8.379055938
Alek Jacob,ST,33,13.81006099,8.300039386
Alek Manoah,ALL,382,12.89620508,11.19681483
Alek Manoah,CH,56,12.32561101,10.71996139
Alek Manoah,FF,105,12.89884741,11.91311028
Alek Manoah,SI,105,14.73081851,11.41948449
Alek Manoah,SL,116,12.3894838,10.05097946
Alex Cobb,ALL,318,10.96007051,8.89281447
Alex Cobb,FF,3,15.18899514,13.99629369
