pitcher,pitch_type,n,naive_in,inferred_in
A.J. Minter,ALL,504,10.331579030228916,9.36366768135219
A.J. Minter,CH,93,12.219323493567328,9.903026139817499
A.J. Minter,FC,170,10.84307669322032,9.971207273968414
A.J. Minter,FF,241,9.783789674081575,8.671469533819252
A.J. Puk,ALL,1119,10.677183009808477,9.824463782264214
A.J. Puk,CH,17,13.148547708189408,11.675507313683529
A.J. Puk,FF,486,9.793986548909455,9.302161853317834
A.J. Puk,FS,27,11.938958721383447,10.30100730772788
A.J. Puk,SI,166,10.190500382133305,9.931719807816531
A.J. Puk,SL,235,12.343568024556781,10.657920663520708
A.J. Puk,ST,188,11.395885174992928,10.514068575846075
AJ Smith-Shawver,ALL,111,13.098059970025613,11.300793081190879
AJ Smith-Shawver,CU,21,17.132908874308146,12.496207294750137
AJ Smith-Shawver,FF,58,11.380545532784446,9.319653402249878
AJ Smith-Shawver,FS,31,15.59481647940131,11.89343000529902
AJ Smith-Shawver,SL,1,20.14898104082464,20.099674169231346
Aaron Ashby,ALL,318,11.475214458384862,10.447885859197811
Aaron Ashby,CH,49,10.730919879829106,10.054260505494467
Aaron Ashby,CU,65,10.41295936024877,9.78017941906733
Aaron Ashby,FF,7,13.05380349674489,10.57394301976301
Aaron Ashby,SI,142,11.508241796057968,10.212244815937918
Aaron Ashby,SL,55,13.479510663081905,13.240329166025207
Aaron Brooks,ALL,391,8.726131315933406,7.90811292450404
Aaron Brooks,CH,53,10.279650810989201,8.901875969337445
Aaron Brooks,FF,107,9.290882484417809,8.49175143665874
Aaron Brooks,KC,7,11.864307041267084,13.627672354540431
Aaron Brooks,SI,96,7.513530839405171,7.583927089779873
Aaron Brooks,SL,128,8.510492538799234,7.626492711984268
Aaron Bummer,ALL,952,11.727594977172426,9.905067793495293
Aaron Bummer,CH,11,16.473134300171292,11.031038241719145
Aaron Bummer,CU,22,22.148146267293498,13.994984972265339
Aaron Bummer,FC,47,9.315588236523359,9.801223353997592
Aaron Bummer,FF,92,9.581409064065689,9.39096973434312
Aaron Bummer,SI,377,10.271372722886579,9.07520493114217
Aaron Bummer,ST,403,12.94205827852397,10.667429203260815
Aaron Civale,ALL,2555,9.839465063708008,8.799469997021934
Aaron Civale,CU,411,12.397074601340726,11.22339331061439
Aaron Civale,FC,826,8.09185449464197,7.437572287290768
Aaron Civale,FF,249,9.461960577283113,8.19870315370592
Aaron Civale,FS,51,12.367045677851744,9.291828167983972
Aaron Civale,SI,605,10.482593673940837,8.77061342793001
Aaron Civale,SL,37,10.637777074848326,7.104022262847262
Aaron Civale,ST,376,10.48495340373885,9.208150344543789
Aaron Hicks,ALL,18,21.612701456431278,11.389059990951132
Aaron Hicks,FA,18,21.612701456431278,11.389059990951132
Aaron Nola,ALL,3019,9.564870842590386,7.987160237748837
